id,name
40,آلاشت
42,آمل
85,ارطه
157,امیرکلا
186,ایزدشهر
199,بابکان
200,بابل
203,بابلسر
263,بلده
312,بهشهر
314,بهنمیر
338,پایین هولار
345,پل سفید
350,پول
390,تنکابن
458,جویبار
469,چالوس
489,چمستان
539,خرم آباد
556,خلیل شهر
577,خوش رودپی
582,دابودشت
662,رامسر
678,رستمکلا
703,رویان
710,رینه
730,زرگرمحله
758,زیرآب
761,ساری
789,سرخرود
824,سلمان شهر
843,سورک
941,شیرگاه
943,شیرود
971,طبقده
978,عباس اباد
1013,فرح آباد
1025,فریدونکنار
1026,فریم
1047,قایم شهر
1119,کتالم وسادات شهر
1120,کجور
1160,کلارآباد
1161,کلاردشت
1195,کوهی خیل
1203,کیاسر
1205,کیاکلا
1211,گتاب
1229,گزنک
1245,گلوگاه
1246,گلوگاه
1325,محمودآباد
1335,مرزن آباد
1336,مرزیکلا
1438,نشتارود
1451,نکا
1465,نور
1471,نوشهر
1505,هادی شهر
1509,هچیرود
